analysis	subject	epoch_num	count	drop ratio (%)
for_timeg	sub01	0	127	50
for_timeg	sub01	1	195	54
for_timeg	sub01	2	325	24
for_timeg	sub01	3	327	23
for_timeg	sub01	4	316	26
for_timeg	sub02	0	181	29
for_timeg	sub02	1	367	14
for_timeg	sub02	2	377	11
for_timeg	sub02	3	378	11
for_timeg	sub02	4	371	13
for_timeg	sub03	0	171	33
for_timeg	sub03	1	342	20
for_timeg	sub03	2	272	36
for_timeg	sub03	3	361	15
for_timeg	sub03	4	394	7
for_timeg	sub04	0	174	32
for_timeg	sub04	1	399	6
for_timeg	sub04	2	245	42
for_timeg	sub04	3	240	44
for_timeg	sub04	4	299	30
for_timeg	sub05	0	186	27
for_timeg	sub05	1	375	12
for_timeg	sub05	2	370	13
for_timeg	sub05	3	388	9
for_timeg	sub05	4	391	8
for_timeg	sub06	0	138	46
for_timeg	sub06	1	311	27
for_timeg	sub06	2	339	20
for_timeg	sub06	3	369	13
for_timeg	sub06	4	375	12
for_timeg	sub07	0	121	53
for_timeg	sub07	1	364	14
for_timeg	sub07	2	377	11
for_timeg	sub07	3	384	10
for_timeg	sub07	4	361	15
for_timeg	sub08	0	229	10
for_timeg	sub08	1	393	8
for_timeg	sub08	2	393	8
for_timeg	sub08	3	394	7
for_timeg	sub08	4	401	6
for_timeg	sub09	0	194	24
for_timeg	sub09	1	337	21
for_timeg	sub09	2	357	16
for_timeg	sub09	3	341	20
for_timeg	sub09	4	365	14
for_timeg	sub10	0	224	12
for_timeg	sub10	1	376	12
for_timeg	sub10	2	395	7
for_timeg	sub10	3	389	8
for_timeg	sub10	4	386	9
for_timeg	sub11	0	189	26
for_timeg	sub11	1	277	35
for_timeg	sub11	2	281	34
for_timeg	sub11	3	291	32
for_timeg	sub11	4	313	26
for_timeg	sub12	0	186	27
for_timeg	sub12	1	339	20
for_timeg	sub12	2	309	27
for_timeg	sub12	3	325	24
for_timeg	sub12	4	336	21
for_timeg	sub13	0	219	14
for_timeg	sub13	1	370	13
for_timeg	sub13	2	390	8
for_timeg	sub13	3	389	8
for_timeg	sub13	4	384	10
for_timeg	sub14	0	200	22
for_timeg	sub14	1	371	13
for_timeg	sub14	2	393	8
for_timeg	sub14	3	373	12
for_timeg	sub14	4	373	12
for_timeg	sub15	0	188	26
for_timeg	sub15	1	330	22
for_timeg	sub15	2	360	15
for_timeg	sub15	3	374	12
for_timeg	sub15	4	380	11
for_rsa	sub01	0	127	50
for_rsa	sub01	1	294	31
for_rsa	sub01	2	325	24
for_rsa	sub01	3	327	23
for_rsa	sub01	4	316	26
for_rsa	sub02	0	181	29
for_rsa	sub02	1	367	14
for_rsa	sub02	2	377	11
for_rsa	sub02	3	378	11
for_rsa	sub02	4	371	13
for_rsa	sub03	0	171	33
for_rsa	sub03	1	346	19
for_rsa	sub03	2	359	16
for_rsa	sub03	3	377	11
for_rsa	sub03	4	394	7
for_rsa	sub04	0	236	7
for_rsa	sub04	1	399	6
for_rsa	sub04	2	404	5
for_rsa	sub04	3	411	3
for_rsa	sub04	4	396	7
for_rsa	sub05	0	205	20
for_rsa	sub05	1	382	10
for_rsa	sub05	2	371	13
for_rsa	sub05	3	388	9
for_rsa	sub05	4	391	8
for_rsa	sub06	0	149	42
for_rsa	sub06	1	329	23
for_rsa	sub06	2	362	15
for_rsa	sub06	3	369	13
for_rsa	sub06	4	375	12
for_rsa	sub07	0	218	15
for_rsa	sub07	1	370	13
for_rsa	sub07	2	377	11
for_rsa	sub07	3	384	10
for_rsa	sub07	4	375	12
for_rsa	sub08	0	230	10
for_rsa	sub08	1	393	8
for_rsa	sub08	2	406	4
for_rsa	sub08	3	394	7
for_rsa	sub08	4	401	6
for_rsa	sub09	0	197	23
for_rsa	sub09	1	339	20
for_rsa	sub09	2	357	16
for_rsa	sub09	3	341	20
for_rsa	sub09	4	365	14
for_rsa	sub10	0	224	12
for_rsa	sub10	1	376	12
for_rsa	sub10	2	395	7
for_rsa	sub10	3	389	8
for_rsa	sub10	4	388	9
for_rsa	sub11	0	189	26
for_rsa	sub11	1	277	35
for_rsa	sub11	2	281	34
for_rsa	sub11	3	303	29
for_rsa	sub11	4	313	26
for_rsa	sub12	0	186	27
for_rsa	sub12	1	386	9
for_rsa	sub12	2	378	11
for_rsa	sub12	3	391	8
for_rsa	sub12	4	397	7
for_rsa	sub13	0	219	14
for_rsa	sub13	1	370	13
for_rsa	sub13	2	390	8
for_rsa	sub13	3	389	8
for_rsa	sub13	4	384	10
for_rsa	sub14	0	200	22
for_rsa	sub14	1	371	13
for_rsa	sub14	2	393	8
for_rsa	sub14	3	373	12
for_rsa	sub14	4	373	12
for_rsa	sub15	0	201	21
for_rsa	sub15	1	330	22
for_rsa	sub15	2	360	15
for_rsa	sub15	3	374	12
for_rsa	sub15	4	380	11
