                           	sub01  	sub02  	sub04  	sub07  	sub08  	sub09  	sub10  	sub12  	sub13  	sub14  	sub15
3rd-Ventricle              	  11.0 	       	   3.0 	  10.0 	       	  13.0 	  12.0 	   1.0 	   9.0 	   6.0 	   3.0
4th-Ventricle              	  18.0 	  11.0 	  15.0 	  11.0 	  11.0 	  11.0 	  17.0 	  19.0 	  14.0 	  21.0 	  10.0
Accumbens-area-lh          	   4.0 	   2.0 	   3.0 	   4.0 	   2.0 	   6.0 	   4.0 	   3.0 	   4.0 	   7.0 	   3.0
Accumbens-area-rh          	   4.0 	   6.0 	   5.0 	   3.0 	   3.0 	   4.0 	   8.0 	   5.0 	  10.0 	   7.0 	   5.0
Amygdala-lh                	  15.0 	  12.0 	  13.0 	  13.0 	  16.0 	  13.0 	  16.0 	  10.0 	  15.0 	  16.0 	  14.0
Amygdala-rh                	  15.0 	  15.0 	  10.0 	  13.0 	  15.0 	  14.0 	  12.0 	  16.0 	  12.0 	  17.0 	  16.0
Brain-Stem                 	 158.0 	 176.0 	 184.0 	 171.0 	 186.0 	 185.0 	 186.0 	 171.0 	 165.0 	 197.0 	 194.0
CC_Anterior                	   7.0 	   8.0 	   7.0 	   7.0 	   8.0 	   9.0 	   6.0 	   9.0 	   6.0 	   7.0 	  10.0
CC_Central                 	   6.0 	   5.0 	   4.0 	   6.0 	   8.0 	   4.0 	   8.0 	   6.0 	   4.0 	   6.0 	  11.0
CC_Mid_Anterior            	   4.0 	   3.0 	   3.0 	   9.0 	   4.0 	   5.0 	   8.0 	   6.0 	   4.0 	   5.0 	  13.0
CC_Mid_Posterior           	   5.0 	   5.0 	   6.0 	   4.0 	   3.0 	   5.0 	   5.0 	   7.0 	   4.0 	   4.0 	   7.0
CC_Posterior               	   7.0 	   7.0 	   9.0 	   6.0 	  10.0 	  10.0 	  10.0 	   7.0 	   7.0 	  10.0 	   8.0
CSF                        	   7.0 	   3.0 	   4.0 	   4.0 	   8.0 	  10.0 	   6.0 	   8.0 	   6.0 	   8.0 	   4.0
Caudate-lh                 	  32.0 	  25.0 	  20.0 	  27.0 	  32.0 	  30.0 	  34.0 	  39.0 	  32.0 	  26.0 	  28.0
Caudate-rh                 	  36.0 	  28.0 	  21.0 	  28.0 	  36.0 	  29.0 	  29.0 	  38.0 	  38.0 	  36.0 	  31.0
Cerebellum-Cortex-lh       	 456.0 	 398.0 	 413.0 	 456.0 	 511.0 	 435.0 	 456.0 	 452.0 	 445.0 	 507.0 	 514.0
Cerebellum-Cortex-rh       	 460.0 	 416.0 	 452.0 	 454.0 	 483.0 	 395.0 	 456.0 	 463.0 	 477.0 	 529.0 	 501.0
Cerebellum-White-Matter-lh 	  90.0 	 111.0 	  99.0 	  95.0 	 116.0 	 126.0 	 116.0 	 111.0 	 116.0 	 123.0 	 103.0
Cerebellum-White-Matter-rh 	 100.0 	  99.0 	  77.0 	 103.0 	 150.0 	 128.0 	 110.0 	 102.0 	 104.0 	 128.0 	 128.0
Cerebral-Cortex-lh         	1825.0 	1784.0 	1772.0 	1958.0 	2008.0 	1627.0 	1928.0 	2260.0 	1852.0 	2245.0 	2081.0
